resonance_radical_smiles,closed_shell_smiles
C=C(C)C(OO)C(=O)CO[O],C=C(C)C(OO)C(=O)COO
[O]CC(=O)C=O,O=CC(=O)CO
C[C](C)C(C)(C)O,CC(C)C(C)(C)O
[O]CO,OCO
CC(CCOO)O[O],CC(CCOO)OO
[CH2]C(=C)C(C)(CO)OO,C=C(C)C(C)(CO)OO
[CH2]OCOC,COCOC
CC(C)=CC(O)O[O],CC(C)=CC(O)OO
CC1CC(C)(CO[O])OO1,CC1CC(C)(COO)OO1
[CH2]C(=O)OCC=CC,CC=CCOC(C)=O
C=C([O])OCC=CC,C=C(O)OCC=CC
[O]OCO,OCOO
C[C](C)OCC(=O)C1OO1,CC(C)OCC(=O)C1OO1
CC(CCO[O])OO,CC(CCOO)OO
[O]OCC1=COC=C1O,OOCC1=COC=C1O
[CH2]C(O)=COC,COC=C(C)O
C=C(O)[CH]OC,C=C(O)COC
[CH2]CC(CO)OO,CCC(CO)OO
[O]CCO,OCCO
[O]OCC(=O)C1(C=O)OO1,O=CC1(C(=O)COO)OO1
O[CH]CCOO,OCCCOO
CC(=O)CC[O],CC(=O)CCO
O=CC1[CH]OCOO1,O=CC1COCOO1
OOC1O[CH]O1,OOC1OCO1
O=C1C[CH]C=C1O,O=C1CCC=C1O
O=C1CC=C[C]1O,O=C1CC=CC1O
[O]C1=C(O)C=CC1,OC1=C(O)CC=C1
CO[CH]OC,COCOC
[O]OCC1OOCC1OO,OOCC1OOCC1OO
[O]OC1C=COC1=O,O=C1OC=CC1OO
C=CC[CH]OC(C)=O,C=CCCOC(C)=O
[CH2]C1(C)CCC(=O)OO1,CC1(C)CCC(=O)OO1
CCC(=O)CO[O],CCC(=O)COO
C=[C]OCOOC(C)=O,C=COCOOC(C)=O
C[C]1CCC(=O)OOC1,CC1CCC(=O)OOC1
CC(C)([O])C=CO,CC(C)(O)C=CO
C=CCC(=O)O[CH]C,C=CCC(=O)OCC
C=C(C)CCC([O])=O,C=C(C)CCC(=O)O
CCC([O])OO,CCC(O)OO
CC(=O)C1(O[O])CO1,CC(=O)C1(OO)CO1
CC(=O)O[O],CC(=O)OO
CO[CH]C=O,COCC=O
COC=C[O],COC=CO
CCC(COO)O[O],CCC(COO)OO
[CH2]C1(C)CC(=O)CO1,CC1(C)CC(=O)CO1
[O]C1CCCO1,OC1CCCO1
C[C](C=O)C=O,CC(C=O)C=O
CC(C=O)=C[O],CC(C=O)=CO
COC([CH]COO)OO,COC(CCOO)OO
CO[C]=O,COC=O
[O]CC1OOCC1=O,O=C1COOC1CO
CCC(=O)C[O],CCC(=O)CO
[O]OC1C=CC(O)C1=O,O=C1C(O)C=CC1OO
[CH2]CC(=O)OO,CCC(=O)OO
[O]C1OOCC1=O,O=C1COOC1O
[CH2]OC=O,COC=O
CC(CO[O])COO,CC(COO)COO
C=CC(O)C=CC(=O)O[O],C=CC(O)C=CC(=O)OO
C=C(COO)C(=O)O[O],C=C(COO)C(=O)OO
O=C1[CH]OC1OO,O=C1COC1OO
[O]C1=COC1OO,OOC1OC=C1O
[O]OC1COOCC1=O,O=C1COOCC1OO
C=C1[CH]CC(=O)OC1,C=C1CCC(=O)OC1
[CH2]C1=CCC(=O)OC1,CC1=CCC(=O)OC1
[O]OC(C=O)CC=CC=O,O=CC=CCC(C=O)OO
[O]OC1C=C(O)C(O)=C1,OOC1C=C(O)C(O)=C1
COCCO[O],COCCOO
CCC(C)(C)[CH]CO,CCC(C)(C)CCO
C[CH]C(=O)COO,CCC(=O)COO
CC=C([O])COO,CC=C(O)COO
CC(C)C(C)(C)O[O],CC(C)C(C)(C)OO
CCC(C[O])OO,CCC(CO)OO
CC1(C)OO[CH]C1=O,CC1(C)OOCC1=O
CC1(C)OOC=C1[O],CC1(C)OOC=C1O
[CH2]OC(C)OO,COC(C)OO
OC1=C[CH]C=CC1O,OC1=CCC=CC1O
O[C]1C=CC=CC1O,OC1C=CC=CC1O
OC1=CC=C[CH]C1O,OC1=CC=CCC1O
[CH2]OCC(C)=O,COCC(C)=O
CC(C)=C(C)OCO[O],CC(C)=C(C)OCOO
[CH2]C1(C=COC(C)=O)OO1,CC(=O)OC=CC1(C)OO1
C[CH]COCOO,CCCOCOO
CC(=O)C[C]=O,CC(=O)CC=O
[O]OCCCC=O,O=CCCCOO
COC[O],COCO
C=CC(=O)[CH]O,C=CC(=O)CO
C=CC([O])=CO,C=CC(O)=CO
[CH2]C(=O)C(C)=O,CC(=O)C(C)=O
C=C([O])C(C)=O,C=C(O)C(C)=O
C=CCO[C](C)O,C=CCOC(C)O
[CH2]C(=O)OC=CC,CC=COC(C)=O
C=C([O])OC=CC,C=C(O)OC=CC
[CH2]C(=O)OO,CC(=O)OO
C=C([O])OO,C=C(O)OO
CC(C)C(C)[CH]CO,CC(C)C(C)CCO
C=C(C=O)C(=O)O[O],C=C(C=O)C(=O)OO
C=C(C)C(C)(C)OOC(C)(C)[C](C)C,C=C(C)C(C)(C)OOC(C)(C)C(C)C
O=[C]CO,O=CCO
C[CH]OCOO,CCOCOO
[O]OCCCCOO,OOCCCCOO
CC(CO)=C(C)CO[O],CC(CO)=C(C)COO
[CH2]C(O)OO,CC(O)OO
CCC(C=O)O[O],CCC(C=O)OO
C=C(CO[O])C(C)CO,C=C(COO)C(C)CO
[CH2]C(=O)OC(=C)C,C=C(C)OC(C)=O
C=C(C)OC(=C)[O],C=C(C)OC(=C)O
CC([O])CC=O,CC(O)CC=O
COCO[O],COCOO
C=C[CH]C(O)=CO,C=CCC(O)=CO
[CH2]C=CC(O)=CO,CC=CC(O)=CO
C=CC=C(O)[CH]O,C=CC=C(O)CO
[CH2]OCC(C)OO,COCC(C)OO
[CH2]C(=O)C1(OO)CO1,CC(=O)C1(OO)CO1
C=C([O])C1(OO)CO1,C=C(O)C1(OO)CO1
[CH2]C(=O)C(C)OO,CC(=O)C(C)OO
C=C([O])C(C)OO,C=C(O)C(C)OO
O=C1O[C]1O,O=C1OC1O
[O]C1=C(O)O1,OC1=C(O)O1
COCC(C)[O],COCC(C)O
O=C1[CH]C=CO1,O=C1CC=CO1
[O]C1=CC=CO1,OC1=CC=CO1
O=C1C=C[CH]O1,O=C1C=CCO1
C[C]1OCC=C(C)O1,CC1=CCOC(C)O1
[CH2]C(CO)OO,CC(CO)OO
COCC[O],COCCO
OC[CH]COO,OCCCOO
CC(COO)O[O],CC(COO)OO
[CH2]C(O)C=O,CC(O)C=O
[CH2]C(O)OOC,COOC(C)O
C[CH]C1COC1=O,CCC1COC1=O
OC1[CH]C=CO1,OC1CC=CO1
OC1C=C[CH]O1,OC1C=CCO1
CC(C)=C(C)C(=O)O[O],CC(C)=C(C)C(=O)OO
C[C]1COOC1CO,CC1COOC1CO
[CH2]C(=C)OCC(C)=O,C=C(C)OCC(C)=O
[CH2]OC(=O)C=CC,CC=CC(=O)OC
C=CC(C)(CO)O[O],C=CC(C)(CO)OO
CC1(O[O])CCOOC1,CC1(OO)CCOOC1
[O]OC1C=CC(O)=C1O,OOC1C=CC(O)=C1O
[CH2]C(O)COO,CC(O)COO
[O]CCCC=O,O=CCCCO
[O]OC1OC=CC1=O,O=C1C=COC1OO
C[C](O)C1(C)OO1,CC(O)C1(C)OO1
C=CC(O)(C=CC=O)O[O],C=CC(O)(C=CC=O)OO
C=C(C)C(O)O[O],C=C(C)C(O)OO
CO[CH]CC=O,COCCC=O
CCC([O])C=O,CCC(O)C=O
CC(C=O)C[O],CC(C=O)CO
CC([O])OO,CC(O)OO
CO[CH]CCOO,COCCCOO
O[CH]COO,OCCOO
CCC(OC)O[O],CCC(OC)OO
O=C1C=CC[C]1O,O=C1C=CCC1O
[O]C1=C(O)CC=C1,OC1=C(O)CC=C1
C=C(O)C(C)O[O],C=C(O)C(C)OO
C=CC(O)=CC(C=O)O[O],C=CC(O)=CC(C=O)OO
[CH2]C(=O)OCC=C,C=CCOC(C)=O
C=CCOC(=C)[O],C=CCOC(=C)O
CC(=O)C[O],CC(=O)CO
C=C(C)C(CO)O[O],C=C(C)C(CO)OO
[O]OC1OCC1=O,O=C1COC1OO
COOC[CH]O,COOCCO
OC1=C[CH]CO1,OC1=CCCO1
O[C]1C=CCO1,OC1C=CCO1
[CH2]OCCCOO,COCCCOO
CC(C)C(C)(C)[O],CC(C)C(C)(C)O
C[C]1COC1=O,CC1COC1=O
CC1=C([O])OC1,CC1=C(O)OC1
C=C(C)C([O])O,C=C(C)C(O)O
COOC(C)[O],COOC(C)O
C=CC(OO)C(=O)CO[O],C=CC(OO)C(=O)COO
C[C]1COOC1=O,CC1COOC1=O
CC1=C([O])OOC1,CC1=C(O)OOC1
CC=C(O)CO[O],CC=C(O)COO
CC(C[O])OO,CC(CO)OO
C=C(C)C(=C)COOC(C)(C)C(C)(C)[O],C=C(C)C(=C)COOC(C)(C)C(C)(C)O
C[C]=CCOC(C)=O,CC=CCOC(C)=O
CC([O])COO,CC(O)COO
C=C(C)CCC(=O)O[O],C=C(C)CCC(=O)OO
O=C[CH]CCOO,O=CCCCOO
[O]C=CCCOO,OC=CCCOO
CCC(C)(C)O[O],CCC(C)(C)OO
COC=C[CH]C=O,COC=CCC=O
CO[CH]C=CC=O,COCC=CC=O
COC=CC=C[O],COC=CC=CO
C=C(C)C([O])CO,C=C(C)C(O)CO
C=C(CO[O])C(C)(CC)OO,C=C(COO)C(C)(CC)OO
CC=CC([O])O,CC=CC(O)O
[CH2]C(OC)OO,COC(C)OO
CC(C=O)O[O],CC(C=O)OO
CC1=CCOC1(C)[O],CC1=CCOC1(C)O
CC(=CCO)CO[O],CC(=CCO)COO
[CH]1OCCO1,C1COCO1
[O]C=O,O=CO
CC(=O)O[C]=C(C)C,CC(=O)OC=C(C)C
[O]OC(C=O)C1CO1,O=CC(OO)C1CO1
C=CCCC([O])=O,C=CCCC(=O)O
C[C](C)C(C)(C)CC(=O)C1OO1,CC(C)C(C)(C)CC(=O)C1OO1
[CH2]C(=O)COC(=C)C,C=C(C)OCC(C)=O
C=C([O])COC(=C)C,C=C(O)COC(=C)C
C[C]1COOCC1=O,CC1COOCC1=O
CC1=C([O])COOC1,CC1=C(O)COOC1
CCOOC[O],CCOOCO
[O]CCCOO,OCCCOO
CC=[C]COC(C)=O,CC=CCOC(C)=O
C[C](C=O)C1(C)CO1,CC(C=O)C1(C)CO1
CC(=C[O])C1(C)CO1,CC(=CO)C1(C)CO1
CC(O)=CO[O],CC(O)=COO
CC1=C(C[O])CC(C)(C)C(C)(C)C1,CC1=C(CO)CC(C)(C)C(C)(C)C1
[CH2]C(C=O)C(C)OO,CC(C=O)C(C)OO
[CH2]CCOOC=O,CCCOOC=O
C=C(C)COC1[CH]C=C(C)CC1OO,C=C(C)COC1CC=C(C)CC1OO
C=C(C)COC1C=C[C](C)CC1OO,C=C(C)COC1C=CC(C)CC1OO
[CH2]OC(=O)CC=C,C=CCC(=O)OC
[CH2]COCOO,CCOCOO
CC([C]=O)OO,CC(C=O)OO
CC([O])C=O,CC(O)C=O
CC1([O])CC=CCO1,CC1(O)CC=CCO1
CC1OOC[C]1O,CC1OOCC1O
O=C1[CH]CC=C1O,O=C1CCC=C1O
[O]C1=CCC=C1O,OC1=CCC=C1O
C=C1C(=O)OOC1[O],C=C1C(=O)OOC1O
CC([O])=C=O,CC(O)=C=O
CC(=O)[C]=O,CC(=O)C=O
C[C](C)C(C)=O,CC(=O)C(C)C
CC(C)=C(C)[O],CC(C)=C(C)O
C[C](C)C(C)(C)OOCC(C)=C(C)C,CC(C)=C(C)COOC(C)(C)C(C)C
CC(O)=C[C]1COOC1,CC(O)=CC1COOC1
C[C](O)C=C1COOC1,CC(O)C=C1COOC1
C=CC(O)=C[CH]C=O,C=CC(O)=CCC=O
C=C[C](O)C=CC=O,C=CC(O)C=CC=O
C=CC(O)=CC=C[O],C=CC(O)=CC=CO
[CH2]C=C(O)C=CC=O,CC=C(O)C=CC=O
C[C]1COOC1C(C)=O,CC(=O)C1OOCC1C
C[C]1COOCC1(C)OO,CC1COOCC1(C)OO
[O]C1C=COCOO1,OC1C=COCOO1
CO[CH]COO,COCCOO
C[C]1COOC1(C)COO,CC1COOC1(C)COO
CCC[CH]OCC,CCCCOCC
CC(C)C(C)O[O],CC(C)C(C)OO
CC(=O)C=C(C)CO[O],CC(=O)C=C(C)COO
[CH2]C(C)(OO)C(=C)CO,C=C(CO)C(C)(C)OO
CC(=CO)O[O],CC(=CO)OO
C[C](C)C1OOC1O,CC(C)C1OOC1O
[O]OCCC=O,O=CCCOO
C=C(C=O)C(C)(C)O[O],C=C(C=O)C(C)(C)OO
[CH2]C(C=O)=COC,COC=C(C)C=O
C=C([CH]OC)C=O,C=C(C=O)COC
C=C1CC(C)(O[O])CO1,C=C1CC(C)(OO)CO1
C=C1C(O)=COC1O[O],C=C1C(O)=COC1OO
O=C1[CH]C=CC1O,O=C1CC=CC1O
[O]C1=CC=CC1O,OC1=CC=CC1O
O=C1C=C[CH]C1O,O=C1C=CCC1O
CC(C)(OO)[C]1COOC1,CC(C)(OO)C1COOC1
CC(C)(C)CO[O],CC(C)(C)COO
OOC1[CH]OCC1,OOC1CCOC1
CC(=C=O)C(C)(C)O[O],CC(=C=O)C(C)(C)OO
CC(=CCO)C[O],CC(=CCO)CO
[CH]1C=COCO1,C1=COCOC1
[O]CCC=O,O=CCCO
COC1=C[CH]CO1,COC1=CCCO1
CO[C]1C=CCO1,COC1C=CCO1
C=C(C)OC(C)(C)[C](C)C,C=C(C)OC(C)(C)C(C)C
CC(C)(C)O[O],CC(C)(C)OO
[O]C1CCCOO1,OC1CCCOO1
CCC(CC)O[O],CCC(CC)OO
CC1=CO[CH]C1=O,CC1=COCC1=O
CC1=COC=C1[O],CC1=COC=C1O
C=C(C)C(C)(CO[O])OO,C=C(C)C(C)(COO)OO
[CH2]OCOO,COCOO
[O]OC=O,O=COO
CC1OO[CH]C1=O,CC1OOCC1=O
CC1OOC=C1[O],CC1OOC=C1O
[CH2]C(=O)COO,CC(=O)COO
C=C([O])COO,C=C(O)COO
C=C(CO[O])C(C)(C)OO,C=C(COO)C(C)(C)OO
C[C]=CC(=O)OC,CC=CC(=O)OC
[CH2]OCCOO,COCCOO
C[C](CO)C1(C)COO1,CC(CO)C1(C)COO1
O=[C]CCOO,O=CCCOO
C=C(COO)C(C)(C)O[O],C=C(COO)C(C)(C)OO
C=C(C)C(O[O])C(C)=O,C=C(C)C(OO)C(C)=O
CC1(C)OOC[C]1COO,CC1(C)OOCC1COO
C=C[C]1C=COC1=O,C=CC1C=COC1=O
[CH2]C=C1C=COC1=O,CC=C1C=COC1=O
C=CC1=C[CH]OC1=O,C=CC1=CCOC1=O
C=CC1=C([O])OC=C1,C=CC1=C(O)OC=C1
[CH2]C1(C)OOCC1(C)OO,CC1(C)OOCC1(C)OO
O=C[CH]OO,O=CCOO
[O]C=COO,OC=COO
[CH2]C(C)(C)C(C)(C)OO,CC(C)(C)C(C)(C)OO
O=C[CH]C=O,O=CCC=O
[O]C=CC=O,O=CC=CO
C[C](C)C(C)(C)OO,CC(C)C(C)(C)OO
C=CC(O[O])OC=CC=O,C=CC(OO)OC=CC=O
OC1=C[CH]C=C1O,OC1=CCC=C1O
O[C]1C=CC=C1O,OC1=CC=CC1O
OC1=C(O)C=C[CH]1,OC1=C(O)CC=C1
C=C(C[O])C(C)(C)OO,C=C(CO)C(C)(C)OO
C=C(CO[O])CC(C)=O,C=C(COO)CC(C)=O
O[C]1CCO1,OC1CCO1
C=C1CO[C](C)O1,C=C1COC(C)O1
[CH2]OCOOC,COCOOC
CC(C)=CC(=O)CO[O],CC(C)=CC(=O)COO
O=C[CH]COO,O=CCCOO
[O]C=CCOO,OC=CCOO
C=C(C=O)C(C)(C)[O],C=C(C=O)C(C)(C)O
[O]OCCOO,OOCCOO
C=[C]CC(=O)O,C=CCC(=O)O
COOC(C)(C)[C](C)C,COOC(C)(C)C(C)C
C=CCC([O])=O,C=CCC(=O)O
[CH2]OC(=C)O,C=C(O)OC
C=CC(O)O[O],C=CC(O)OO
OC1C[CH]O1,OC1CCO1
C[C](C)O,CC(C)O
[CH2]OC(C)=C(C)C=O,COC(C)=C(C)C=O
CC1([CH]O)OO1,CC1(CO)OO1
C=CC(CO)O[O],C=CC(CO)OO
C[C]=COC(C)=O,CC=COC(C)=O
OC1[CH]COO1,OC1CCOO1
CC1([O])CO1,CC1(O)CO1
C=C1CC(C)([O])CO1,C=C1CC(C)(O)CO1
C=C(O)CO[O],C=C(O)COO
C=C(O)O[O],C=C(O)OO
CC1(O[O])COOC1,CC1(OO)COOC1
C=C(COO)[C](C)COO,C=C(COO)C(C)COO
[CH2]C(COO)=C(C)COO,CC(COO)=C(C)COO
O=[C]CC=O,O=CCC=O
CC(=O)C[C]1COOC1,CC(=O)CC1COOC1
CC(C)=C(C=O)CO[O],CC(C)=C(C=O)COO
C[C](C)CO,CC(C)CO
C=C(C[O])C(=O)CC,C=C(CO)C(=O)CC
C=C(C[O])CC(C)=O,C=C(CO)CC(C)=O
C=C(C)C(C)(C=O)O[O],C=C(C)C(C)(C=O)OO
C=CO[CH]O,C=COCO
[CH2]COOC=O,CCOOC=O
[O]OC1CCOOC1,OOC1CCOOC1
O=[C]CC=CO,O=CCC=CO
CCC(C)CO[O],CCC(C)COO
O=C(O)[C]1CC1,O=C(O)C1CC1
[O]C(O)=C1CC1,OC(O)=C1CC1
[O]COO,OCOO
C[C](C)C(C)=CO,CC(=CO)C(C)C
CC(C)=C(C)[CH]O,CC(C)=C(C)CO
CC[C](C)OC,CCC(C)OC
CC(C)=C(CO[O])COO,CC(C)=C(COO)COO
[CH2]C(=O)C=O,CC(=O)C=O
C=C([O])C=O,C=C(O)C=O
O=C[CH]C=CCC=O,O=CCC=CCC=O
[O]C=CC=CCC=O,O=CCC=CC=CO
O=CC=C[CH]CC=O,O=CC=CCCC=O
C=C(COO)C(C)(C)[O],C=C(COO)C(C)(C)O
C=C1CO[C](C)CO1,C=C1COC(C)CO1
CC1([O])CC=CO1,CC1(O)CC=CO1
CC(C)COOC1(C)[CH]C=CCC1,CC(C)COOC1(C)CC=CCC1
CC(C)COOC1(C)C=C[CH]CC1,CC(C)COOC1(C)C=CCCC1
CC1OOCC1O[O],CC1OOCC1OO
C=CC([O])O,C=CC(O)O
C=C1OC[C](C)CO1,C=C1OCC(C)CO1
[CH]=C(C)OC(C)=O,C=C(C)OC(C)=O
C=[C]COC(C)=O,C=CCOC(C)=O
[CH2]C(=C=O)C(C)(C)OO,CC(=C=O)C(C)(C)OO
C=C([C]=O)C(C)(C)OO,C=C(C=O)C(C)(C)OO
COOC[O],COOCO
[O]C(=O)C1CC1,O=C(O)C1CC1
CC1=C[CH]C(OOCC(C)C)CC1,CC1=CCC(OOCC(C)C)CC1
C[C]1C=CC(OOCC(C)C)CC1,CC(C)COOC1C=CC(C)CC1
CC(=O)C1([C]=O)OO1,CC(=O)C1(C=O)OO1
OC1=CCOC=C[CH]1,OC1=CCOC=CC1
OC1=CCO[CH]C=C1,OC1=CCOCC=C1
OC1=CC=COC[CH]1,OC1=CC=COCC1
[CH2]C(C)=C1COOCO1,CC(C)=C1COOCO1
C=C(C)[C]1COOCO1,C=C(C)C1COOCO1
[CH2]CC(C=O)OO,CCC(C=O)OO
C[C](O)C1OO1,CC(O)C1OO1
[CH2]C1(CC(C)=O)CO1,CC(=O)CC1(C)CO1
C=C(O)C[O],C=C(O)CO
CC=[C]OC(C)=O,CC=COC(C)=O
C=C(C)[C](COO)COO,C=C(C)C(COO)COO
[CH2]C(C)=C(COO)COO,CC(C)=C(COO)COO
O=C(O)C1[CH]C1,O=C(O)C1CC1
CO[CH]C(C)C,COCC(C)C
CC(C=O)=C(C)CO[O],CC(C=O)=C(C)COO
[O]OC1CCCCC1,OOC1CCCCC1
CCC(C)O[O],CCC(C)OO
[O]CCOO,OCCOO
[CH2]COC=CO,CCOC=CO
[CH2]C(CC=O)OO,CC(CC=O)OO
O=C1C=CC(O)[CH]C1,O=C1C=CC(O)CC1
[O]CC=CO,OC=CCO
[O]OCC=COC=CC=O,O=CC=COC=CCOO
CC=[C]C(=O)OC,CC=CC(=O)OC
CC=C=C([O])OC,CC=C=C(O)OC
C=C(C)CC(=O)CO[O],C=C(C)CC(=O)COO
CC=CC(=O)O[O],CC=CC(=O)OO
[CH2]OC(CC)OO,CCC(OC)OO
CC(C)=C(C=O)C[O],CC(C)=C(C=O)CO
COOCC[O],COOCCO
[CH2]C1OC1O,CC1OC1O
CC(CO[O])=C(C)COO,CC(COO)=C(C)COO
C=[C]CC(=O)OC,C=CCC(=O)OC
C=C(CO)O[O],C=C(CO)OO
[O]OCC=O,O=CCOO
[CH2]OCC(C)C,COCC(C)C
C=C(C)C(=O)O[O],C=C(C)C(=O)OO
[CH2]C(C)C(C)(C)OO,CC(C)C(C)(C)OO
[CH2]C1(O)CO1,CC1(O)CO1
C=C(O)[C]=O,C=C(O)C=O
[CH2]C(O)=C=O,CC(O)=C=O
[O]OCC1CCOO1,OOCC1CCOO1
CC(C=O)=C(C)C[O],CC(C=O)=C(C)CO
O=C1[CH]CO1,O=C1CCO1
[O]C1=CCO1,OC1=CCO1
CCC[CH]OC,CCCCOC
C=C(C(C)=O)C(C)(C)[C](C)C,C=C(C(C)=O)C(C)(C)C(C)C
CC1(O)[CH]O1,CC1(O)CO1
COC[C](C)C,COCC(C)C
C=CC([O])=O,C=CC(=O)O
C[C]1OC1O,CC1OC1O
[CH2]C1(C)OOC1CO,CC1(C)OOC1CO
C=C(CO[O])C(C)=O,C=C(COO)C(C)=O
C=CC(OC)O[O],C=CC(OC)OO
O[CH]C1CO1,OCC1CO1
[O]CC=O,O=CCO
[CH2]OC(=C)C(C)=O,C=C(OC)C(C)=O
O=[C]COO,O=CCOO
O=C1[CH]COO1,O=C1CCOO1
[O]C1=CCOO1,OC1=CCOO1
[CH2]C1=COC(O)C1=C,C=C1C(C)=COC1O
C=C1[CH]OC(O)C1=C,C=C1COC(O)C1=C
C[CH]C(C)=O,CCC(C)=O
CC=C(C)[O],CC=C(C)O
CC[CH]CO,CCCCO
[O]OC1=COOC1=O,O=C1OOC=C1OO
CC(=O)C=CCO[O],CC(=O)C=CCOO
CC(C)CO[O],CC(C)COO
C=CC(O)[C]=O,C=CC(O)C=O
O=C1C[CH]O1,O=C1CCO1
O[C]1COOC1,OC1COOC1
C=C(O)[C](C)C,C=C(O)C(C)C
[CH2]C(O)=C(C)C,CC(C)=C(C)O
[CH2]OCCCC,CCCCOC
C[C](C)C=O,CC(C)C=O
CC(C)=C[O],CC(C)=CO
[O]C1CCOO1,OC1CCOO1
CC[CH]O,CCCO
CC(O[O])C1(C)OO1,CC(OO)C1(C)OO1
C=C(C=O)C[C](C=O)C(=C)C,C=C(C=O)CC(C=O)C(=C)C
C=C(C=O)CC(=C[O])C(=C)C,C=C(C=O)CC(=CO)C(=C)C
[CH2]C(C)=C(C=O)CC(=C)C=O,C=C(C=O)CC(C=O)=C(C)C
[O]CC1(C=O)OO1,O=CC1(CO)OO1
CO[C](C)C,COC(C)C
OC1[CH]CO1,OC1CCO1
C=C(C[O])C(C)=O,C=C(CO)C(C)=O
C[CH]C(OC)OO,CCC(OC)OO
CC1(O[O])CCC1=O,CC1(OO)CCC1=O
[CH2]C(=O)C(OO)C(=C)C,C=C(C)C(OO)C(C)=O
C=C(C)C(OO)C(=C)[O],C=C(C)C(OO)C(=C)O
C=C(C=O)C(C)O[O],C=C(C=O)C(C)OO
[CH2]C1(C)OOCC1=O,CC1(C)OOCC1=O
[CH2]C(=O)C1(C=O)OO1,CC(=O)C1(C=O)OO1
C=C([O])C1(C=O)OO1,C=C(O)C1(C=O)OO1
CC1O[C]1O,CC1OC1O
[O]OCC(=O)C1OO1,O=C(COO)C1OO1
O=C1[CH]COOC1,O=C1CCOOC1
[O]C1=CCOOC1,OC1=CCOOC1
[CH2]OC(C)C,COC(C)C
C=CC(=O)C(C)O[O],C=CC(=O)C(C)OO
CC1OC1O[O],CC1OC1OO
[CH2]C1C(=O)C=CC1O,CC1C(=O)C=CC1O
[O]C1CCO1,OC1CCO1
C=C(C)[C](C)CO,C=C(C)C(C)CO
[CH2]C(C)=C(C)CO,CC(C)=C(C)CO
C[C](C)C=CO,CC(C)C=CO
CC(C)=C[CH]O,CC(C)=CCO
[CH2]C=C(C=O)OO,CC=C(C=O)OO
C=C[C](C=O)OO,C=CC(C=O)OO
C=CC(=C[O])OO,C=CC(=CO)OO
[CH]=CC(=O)O,C=CC(=O)O
C=C(COO)C(C)O[O],C=C(COO)C(C)OO
CC1([CH]CO)COO1,CC1(CCO)COO1
C=C(C=C(C)O)CO[O],C=C(C=C(C)O)COO
CCCCO[O],CCCCOO
[CH2]CCCO,CCCCO
CC(C)(O[O])C1OO1,CC(C)(OO)C1OO1
C[CH]C(C)(C)OO,CCC(C)(C)OO
O=C1[CH]OC=C1,O=C1C=COC1
[O]C1=COC=C1,OC1=COC=C1
C[C](C)C(C)OO,CC(C)C(C)OO
CC=CC(=O)CO[O],CC=CC(=O)COO
C=C(OC(C)(C)[C](C)C)C1OO1,C=C(OC(C)(C)C(C)C)C1OO1
CC=C(C=O)CO[O],CC=C(C=O)COO
C=C(C)C=C(O)CO[O],C=C(C)C=C(O)COO
C=C(CO[O])C(C)OO,C=C(COO)C(C)OO
C[CH]CCOC,CCCCOC
[O]C=C=O,O=C=CO
O=[C]C=O,O=CC=O
[CH]1COOCO1,C1COOCO1
C=C1COOC1[C](C)O,C=C1COOC1C(C)O
C=CC(O[O])C(C)=O,C=CC(OO)C(C)=O
[CH2]C(=C)C(C)CO,C=C(C)C(C)CO
C=C(C)C(=O)CO[O],C=C(C)C(=O)COO
O=C1[CH]OOC1,O=C1COOC1
[O]C1=COOC1,OC1=COOC1
O=CC1=CC(O)[CH]C1,O=CC1=CC(O)CC1
[CH2]C1OCOO1,CC1OCOO1
[CH2]C(=CO)C(=C)C=O,C=C(C=O)C(C)=CO
C=C([CH]O)C(=C)C=O,C=C(C=O)C(=C)CO
[CH2]C(C)O,CC(C)O
[CH2]C(C)COC,COCC(C)C
C=CO[C]=O,C=COC=O
C=C(C)C(O[O])C(=C)O,C=C(C)C(OO)C(=C)O
CC[CH]OC,CCCOC
[O]OC1CCO1,OOC1CCO1
[CH2]C1=COC=C1O,CC1=COC=C1O
C=C1[CH]OC=C1O,C=C1COC=C1O
CC1(O[O])CO1,CC1(OO)CO1
C[CH]C1OOC1=O,CCC1OOC1=O
[CH2]CC(C)(C)OO,CCC(C)(C)OO
CC(C)[C]=O,CC(C)C=O
[CH]=C(CO)C(C)=O,C=C(CO)C(C)=O
C[CH]CO,CCCO
[CH2]C(C)=COCC,CCOC=C(C)C
C=C(C)[CH]OCC,C=C(C)COCC
[CH2]C1=COCC1=CO,CC1=COCC1=CO
C=C1[CH]OCC1=CO,C=C1COCC1=CO
[CH2]C=C(C)O,CC=C(C)O
C=C[C](C)O,C=CC(C)O
[CH2]CCCOC,CCCCOC
[CH2]CC(OC)OO,CCC(OC)OO
O[C]1COC1,OC1COC1
C[CH]O,CCO
[CH2]OCCC,CCCOC
[CH2]C(=O)CC,CCC(C)=O
C=C([O])CC,C=C(O)CC
C=COCO[O],C=COCOO
C=C(O[O])C(C)=O,C=C(OO)C(C)=O
[CH2]C(C)=C(C)OC,COC(C)=C(C)C
C=C(C)[C](C)OC,C=C(C)C(C)OC
OC=[C]CO,OC=CCO
CCC1(C)OOC[C]1C,CCC1(C)OOCC1C
C=C=C[CH]OC(C)=O,C=C=CCOC(C)=O
C=[C]C=COC(C)=O,C=CC=COC(C)=O
O=C[CH]C1CC=CO1,O=CCC1CC=CO1
[O]C=CC1CC=CO1,OC=CC1CC=CO1
