resonance_radical_smiles,closed_shell_smiles
CC(=O)OC(C)CO[O],CC(=O)OC(C)COO
CC(=O)OCCCC[O],CC(=O)OCCCCO
CC([O])C(C)(C)C(=O)CO,CC(O)C(C)(C)C(=O)CO
O[C](O)O,OC(O)O
[O]CC(OO)OC=O,O=COC(CO)OO
CC(O[O])C(C)(C)C(CO)OO,CC(OO)C(C)(C)C(CO)OO
CC(=O)[CH]OC(C)=O,CC(=O)COC(C)=O
CC(=O)OC=C(C)[O],CC(=O)OC=C(C)O
C[CH]CC(OO)OC(C)=O,CCCC(OO)OC(C)=O
CC(C)COC(=O)CO[O],CC(C)COC(=O)COO
CC([O])(CO)C(=O)C=O,CC(O)(CO)C(=O)C=O
[CH2]C(=O)OC(C=O)OO,CC(=O)OC(C=O)OO
C=C([O])OC(C=O)OO,C=C(O)OC(C=O)OO
CC(C)(OO)C(=O)[CH]O,CC(C)(OO)C(=O)CO
CC(C)(OO)C([O])=CO,CC(C)(OO)C(O)=CO
[O]OC(=O)C(O)=CO,O=C(OO)C(O)=CO
[CH2]C(OC(C)=O)C(C)OO,CC(=O)OC(C)C(C)OO
[CH2]C(=O)C(O)(C=O)OO,CC(=O)C(O)(C=O)OO
C=C([O])C(O)(C=O)OO,C=C(O)C(O)(C=O)OO
[O]OCCC(CO)CO,OCC(CO)CCOO
O=C1COC[C](COO)O1,O=C1COCC(COO)O1
[CH2]C(C)C(OO)OC(C)=O,CC(=O)OC(OO)C(C)C
CC(=O)OC([O])C1CO1,CC(=O)OC(O)C1CO1
CC(=O)OCCCO[O],CC(=O)OCCCOO
[CH2]C(=O)OCC(CC)OO,CCC(COC(C)=O)OO
C=C([O])OCC(CC)OO,C=C(O)OCC(CC)OO
C[C](CCOO)OC(C)=O,CC(=O)OC(C)CCOO
C[CH]C(COO)OC(C)=O,CCC(COO)OC(C)=O
OC[C](O)CO,OCC(O)CO
CC(C)(OO)[C](O)C=O,CC(C)(OO)C(O)C=O
CC(C)(OO)C(O)=C[O],CC(C)(OO)C(O)=CO
CCCCOC(=O)CO[O],CCCCOC(=O)COO
O[CH]C(O)CO,OCC(O)CO
C[C](COO)COC(C)=O,CC(=O)OCC(C)COO
[CH2]CCC(OO)OC(C)=O,CCCC(OO)OC(C)=O
[CH2]C(O)C(=O)O,CC(O)C(=O)O
[O]C1OC(=O)O1,O=C1OC(O)O1
CC(C)OC(=O)CO[O],CC(C)OC(=O)COO
CC(=O)O[CH]CC(C)OO,CC(=O)OCCC(C)OO
[CH2]C(=O)OC(C)(C)COO,CC(=O)OC(C)(C)COO
C=C([O])OC(C)(C)COO,C=C(O)OC(C)(C)COO
[O]OC(O)(C=O)C=CO,O=CC(O)(C=CO)OO
CC(C)[C]1OCC(=O)O1,CC(C)C1OCC(=O)O1
CC(C=O)(O[O])C1(C)OCOO1,CC(C=O)(OO)C1(C)OCOO1
CC1=CCC(=O)OC([O])O1,CC1=CCC(=O)OC(O)O1
CC(=O)OC1OC1C[O],CC(=O)OC1OC1CO
CC(=O)O[CH]C1OOCC1=O,CC(=O)OCC1OOCC1=O
[O]OC(O)C(=O)COO,O=C(COO)C(O)OO
[CH2]CC(COO)OC(C)=O,CCC(COO)OC(C)=O
[CH2]CC(COC(C)=O)OO,CCC(COC(C)=O)OO
[O]C(=O)OOC=O,O=COOC(=O)O
C[C](C)COOCC(=O)O,CC(C)COOCC(=O)O
CC(=O)OC=CC(=O)CO[O],CC(=O)OC=CC(=O)COO
O=C1O[CH]OC1OO,O=C1OCOC1OO
CC(=O)[C](O)C=O,CC(=O)C(O)C=O
CC([O])=C(O)C=O,CC(O)=C(O)C=O
CC(=O)C(O)=C[O],CC(=O)C(O)=CO
CC[C](COO)OC(C)=O,CCC(COO)OC(C)=O
CCC([CH]OC(C)=O)OO,CCC(COC(C)=O)OO
