smiles,H298 (kcal/mol),S298 (cal/mol/K),Sint298 (cal/mol/K),source,level_of_theory,Cp300 (cal/mol/K),Cp400 (cal/mol/K),Cp500 (cal/mol/K),Cp600 (cal/mol/K),Cp800 (cal/mol/K),Cp1000 (cal/mol/K),Cp1500 (cal/mol/K)
CCC=CC(=O)OC,-86.74867395471951,98.90824781741753,103.27458678156042,dong_pio_liang.py,CBS-QB3,35.13450824766367,42.4416444066608,49.84145513315392,56.42008771616608,66.99804833183262,74.75245482710709,85.86146080915775
COC=O,-86.48672257104944,69.05659207155911,71.23976155363056,dong_pio_liang.py,CBS-QB3,15.21232708247323,18.380726146787758,21.734917095702677,24.65722081535326,29.319011248546847,32.68575137630975,37.31103412347992
CCC(=CO)CO,-86.38850550642526,90.35625902157513,92.53942850364658,dong_pio_liang.py,CBS-QB3,33.415729546955525,41.843191922672744,49.596227889316445,56.44911360150869,67.02397576479893,73.65173518460803,82.04373568643513
C=C(C)C(O)O,-86.30303911264228,83.65300287444174,85.83617235651319,dong_pio_liang.py,CBS-QB3,30.638703728549135,37.95234699523366,43.25037704147226,47.29855600717301,53.60864886251833,58.078574126500946,64.44626685779876
OOC1OCO1,-86.2556974301857,77.08334298588419,77.08334298588419,dong_pio_liang.py,CBS-QB3,22.649337321060997,28.148294412773232,32.47902725203155,35.76142759990797,40.659321058034024,43.946793559732306,48.044654313491876
C=CCCOC(C)=O,-86.23004279557397,101.38998843178607,103.57315791385751,dong_pio_liang.py,CBS-QB3,33.21212462148948,41.663987357362934,49.395349878163245,56.080367213442926,66.75227420876608,74.49536396045889,85.43706578519
CC(=O)C(=O)C=O,-86.22665931351614,90.16964088127246,92.3528103633439,dong_pio_liang.py,CBS-QB3,26.990382768456023,30.648920354611853,34.21017971133126,37.312517501593454,42.322031236042555,46.02421923583174,51.4514863626171
C=C(C)C(=O)O,-86.0632438662032,80.59648472495782,82.77965420702927,dong_pio_liang.py,CBS-QB3,24.777867032886384,30.224407578722907,35.20846531712715,39.62001689092023,46.53971634085522,51.12015197068834,57.39040227961259
CC(=O)OC=C=O,-86.06240059430901,84.87442669926324,87.05759618133469,dong_pio_liang.py,CBS-QB3,26.60574062815205,31.927984388163516,36.50068112048757,40.296603393460266,45.75688924794324,49.27740544631931,54.16759089309333
C=CC1OC1C(=O)O,-85.8958146296084,92.75480086648267,92.75480086648267,dong_pio_liang.py,CBS-QB3,30.543358037562832,37.6810627843613,43.997437517409175,49.33881100156972,57.07277069991924,61.97240193038623,68.86311499269503
CC(=O)C(C)=CO,-85.68431001781896,84.4290794392119,88.79541840335479,dong_pio_liang.py,CBS-QB3,29.56659303122488,36.02034896354222,41.80537958590129,46.97213911432273,55.642767802015264,62.39629294910517,72.99622009575309
COCOC,-85.53255748806282,77.98318008107329,83.72694562854424,dong_pio_liang.py,CBS-QB3,25.632802763339672,31.123200062409364,36.117833368037765,40.54562028778801,47.60411021416277,52.481149959063096,59.552526795396155
CC(O)C=O,-85.51586561354056,76.55719624881014,77.36293914755352,dong_pio_liang.py,CBS-QB3,23.829954786858128,29.44428213279311,33.797553669464634,37.263898825294106,42.62690448300622,46.349544812103254,51.30975258494861
CC1(C)OC12COOC2=O,-85.40590846767056,96.54755709660277,100.91389606074566,dong_pio_liang.py,CBS-QB3,38.42530398062721,47.06833091650326,54.510769656769845,60.88368700235947,70.90612245091857,78.0277626203633,87.86637853645438
CC(O)COO,-85.32111837812194,90.76272833984572,91.5684712385891,dong_pio_liang.py,CBS-QB3,31.50525195057878,37.184387068526206,42.14324716760277,46.40031472687697,53.123704564619835,57.933170226826,64.65603140802342
CC(CO)OO,-85.2175167913203,81.254332480411,82.06007537915437,dong_pio_liang.py,CBS-QB3,31.5354483482434,36.9725993433629,41.78547994840152,45.941836763732084,52.564214987313115,57.367662924022945,64.25158967613098
CCCOCOO,-84.83572010552328,91.59861436149018,93.78178384356163,johnson_g4.py,G4,36.03639734754761,43.031306601924285,49.3299670582696,54.767777003115995,63.433207158602045,69.71577462848948,78.67966571300192
CC=C(O)CC(C)=O,-84.53689255403725,97.05409928091596,101.42043824505885,dong_pio_liang.py,CBS-QB3,36.117652234165206,44.86907208986391,52.63499600875573,59.2585224362786,69.59432206773866,76.82644064875335,86.37974960148996
CC(O)=C(C)C=O,-84.50124092225792,85.98099472247836,90.34733368662125,dong_pio_liang.py,CBS-QB3,28.542640921022524,35.05001956400942,41.05253907145555,46.486402674579054,55.539936644349616,62.288093529541115,72.56487282984176
NCCC(C=O)O,-84.25492398580157,92.36583115237585,90.98840456904777,dong_pio_liang.py,CBS-QB3,33.67643263834876,41.428189440167806,48.34376217759464,54.34722676468291,63.58984096888338,69.65146266449902,77.82445599446511
OC1=COCO1,-84.17690891353466,74.18707939200412,74.18707939200412,dong_pio_liang.py,CBS-QB3,21.87121879472065,26.861053580887955,30.7966781003872,34.00504087309037,39.03331630104456,42.59369471719886,47.519005280881345
C=CC(C)C(=O)OC,-84.08007189393388,101.13944727665226,104.12835965746709,dong_pio_liang.py,CBS-QB3,36.26443366538662,43.03033128097362,49.66420525569791,55.93405508090879,66.19268989417148,73.83823451472274,85.13567735322655
C=C(C)OC(C)=O,-83.81662219618104,92.16375630322595,96.53009526736884,dong_pio_liang.py,CBS-QB3,29.45547169515869,36.478463213845416,42.69117887090894,48.02225372295608,56.42878664108457,62.41579936811854,70.6292157075246
CCC1(O)OC1C,-83.80591213307552,91.88337690957214,96.24971587371502,johnson_g4.py,G4,35.322898206043405,42.32862879342104,48.65434789804613,54.17508172662128,63.071094288403614,69.63551135791587,79.31687962358629
CC(=O)OO,-83.78024586572299,74.61185231833073,76.79502180040218,dong_pio_liang.py,CBS-QB3,20.34889038055283,24.60663918601086,28.360469742564533,31.476531292205888,35.873817068225776,38.808372362678774,42.84714415213444
C=C(C)C(C)(C)OCC(=C)C(C)(C)OO,-83.64443333436894,140.5863646911451,151.5022121015023,dong_pio_liang.py,CBS-QB3,80.24547732532486,100.4217786821652,116.96048144902963,129.98212718761835,148.59646945783976,161.62981832449336,179.30587732002996
CC(C)(CC=O)OO,-83.63455804200964,97.04042554129197,101.40676450543485,dong_pio_liang.py,CBS-QB3,43.47375653959695,51.64041217122983,57.88444516542662,63.17781783354589,71.38144424980516,77.09747176900572,84.89927554186066
CCOOCO,-83.6313706735963,90.66673231494983,92.84990179702127,dong_pio_liang.py,CBS-QB3,30.201228563630973,35.93239769020268,41.053196091604924,45.468649809661095,52.49057831594866,57.565099838718936,64.76111612979805
