radical_smiles,resonance_radical_smiles,has_H,has_C,has_N,has_O,Mw (g/mol),num_rings,num_heavy_atoms,num_rotatable_bonds,radical_atom_type
CC=C1[C]=COO1,C[CH]C1=C=COO1,True,True,False,True,97.0289544,1,7,2,C
C=CC#CC[C]=O,C=CC#CC[C]=O,True,True,False,True,93.03403978,0,7,1,C
[CH]=C(C)CC=C,[CH]=C(C)CC=C,True,True,False,False,81.070425288,0,6,3,C
[CH2]C1(C)CC1=C,[CH2]C1(C)CC1=C,True,True,False,False,81.070425288,1,6,2,C
[CH]=CC(=C)C,[CH]=CC(=C)C,True,True,False,False,67.054775224,0,5,2,C
C#C[C]=CO,C#C[C]=CO,True,True,False,True,67.018389716,0,5,1,C
C#C[C]=CO,[CH]=C=C=CO,True,True,False,True,67.018389716,0,5,1,C
C=CC#CCO[O],C=CC#CCO[O],True,True,False,True,97.0289544,0,7,1,O
[C]1=COC1,[C]1=COC1,True,True,False,True,55.018389716,1,4,0,C
C=C=C(C=C)O[O],C=C=C(C=C)O[O],True,True,False,True,97.0289544,0,7,2,O
C=C[CH]CC1C=CC2C3C=CC(C3)C12,C=C[CH]CC1C=CC2C3C=CC(C3)C12,True,True,False,False,185.133025544,3,14,3,C
C=C[CH]CC1C=CC2C3C=CC(C3)C12,[CH2]C=CCC1C=CC2C3C=CC(C3)C12,True,True,False,False,185.133025544,3,14,3,C
[CH2]C1C=CC1,[CH2]C1C=CC1,True,True,False,False,67.054775224,1,5,1,C
C=C[CH]CC1C=CC(C2C=CCC=C2)C1,C=C[CH]CC1C=CC(C2C=CCC=C2)C1,True,True,False,False,199.148675608,2,15,4,C
C=C[CH]CC1C=CC(C2C=CCC=C2)C1,[CH2]C=CCC1C=CC(C2C=CCC=C2)C1,True,True,False,False,199.148675608,2,15,4,C
[CH]=CC=CC=C=O,[CH]=CC=CC=C=O,True,True,False,True,93.03403978,0,7,2,C
C=C=CC[CH]C(=C)C,C=C=CC[CH]C(=C)C,True,True,False,False,107.086075352,0,8,4,C
C=C=CC[CH]C(=C)C,[CH2]C(C)=CCC=C=C,True,True,False,False,107.086075352,0,8,4,C
[CH2]C1=C(C)C1,[CH2]C1=C(C)C1,True,True,False,False,67.054775224,1,5,2,C
[CH2]C1=C(C)C1,C=C1C[C]1C,True,True,False,False,67.054775224,1,5,1,C
