smiles,H298 (kcal/mol),S298 (cal/mol/K),Sint298 (cal/mol/K),source,level_of_theory,Cp300 (cal/mol/K),Cp400 (cal/mol/K),Cp500 (cal/mol/K),Cp600 (cal/mol/K),Cp800 (cal/mol/K),Cp1000 (cal/mol/K),Cp1500 (cal/mol/K)
[O]C(=O)COC=O,-112.81052888829068,89.57205128758815,89.57205128758815,dong_pio_liang.py,CBS-QB3,24.117024849500385,28.777411591561116,32.85104472905115,36.28095103966483,41.51183528595438,45.02540950432123,49.23083277796128
[CH2]C(=O)OC(C)(COO)COO,-112.5462514085819,127.84290347438441,131.40349953978392,dong_pio_liang.py,CBS-QB3,60.16542134734207,69.90749554240611,78.07332429741395,85.06702322379917,95.9233254949938,103.44512737084132,113.13388307667903
O[C]1OC(O)O1,-112.11696599039425,76.75564812931673,76.75564812931673,dong_pio_liang.py,CBS-QB3,22.103415528090057,27.179051929349143,31.02545524880976,33.78384442464175,37.72825378791976,40.245999020936914,43.06534203414795
CC(C)(O[O])C1OOCC(=O)O1,-111.6738833610489,112.0488121972398,116.41515116138268,dong_pio_liang.py,CBS-QB3,50.17559794467018,59.905425971723254,68.0538787997562,74.96243843902757,85.65352515661533,93.06592794428299,102.9432136568786
[CH2]C1(COC(C)=O)OCOO1,-111.62502934245033,115.44212819980305,119.00272426520256,dong_pio_liang.py,CBS-QB3,44.207261491069836,53.554133937861174,61.69449880165272,68.73309141158491,79.90935555024022,87.86262644217972,98.34198480239841
CC(=O)OC([CH]COO)OO,-111.36283480944762,123.44905863528275,124.25480153402614,dong_pio_liang.py,CBS-QB3,56.24166879692085,65.03259342759004,71.6944696756011,77.22840012523572,85.4905903119608,90.87310518667303,97.18064145117472
CC(=O)OCC(C)(C)O[O],-111.19620021893262,115.12930760515239,121.67881605136672,dong_pio_liang.py,CBS-QB3,44.897365045756025,53.92651996617284,62.13515314921128,69.22253166085707,80.51392961590565,88.69121206481836,100.28653715781547
CCC(C)(O[O])OC(C)=O,-111.15245847680154,115.77136753159027,120.94344939447654,dong_pio_liang.py,CBS-QB3,46.85045737143079,55.85847144318014,63.83240386560468,70.67619944743224,81.4768813984303,89.18775535321222,99.88042915327198
O=C1OOC(O)[C]1O,-111.0207582849078,87.9823798046272,87.9823798046272,dong_pio_liang.py,CBS-QB3,28.865451802725048,34.94646267217055,39.490542597533455,42.84039119023957,47.81372790982704,51.11683333583175,55.00873131380379
CC(=O)OC([O])C(C)C,-110.97503357152054,108.69313284787016,113.86521471075643,dong_pio_liang.py,CBS-QB3,39.902293771738044,49.58012006240043,58.13934031793175,65.4678484377124,76.97997575229596,85.12503327904551,96.13413245426061
